source_json,test_id,subject,topic_name,total_questions,question_number,type,question_text,correct_answer,option_a,option_b,option_c,option_d,solution,image_data,hint_image,option_images_json,option_image_a,option_image_b,option_image_c,option_image_d,extra_question_images,solution_images,raw_question_json
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,0,numerical,,,,,,,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,1,single_type,"$\binom{30}{0}\binom{30}{10} - \binom{30}{1}\binom{30}{11} + \dots$ $\binom{30}{20}\binom{30}{30}is$ s equal i

**Options:**
-",c,${}^{30}C_{11}$ b ) $^{60}C_{10}$,N/A,$^{30}C_{10}$,$^{65}C_{55}$,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,2,single_type,"The coefficient of $a^8b^7$ $^{4}c^{9}d^{9}$ in abc+abd+acd+ -bcd)10 is

**Options:**
-",d,10! 10! 8!4!9!9!,N/A,2520 ),None e of these,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,3,single_type,"The value of $\sum_{r=1}^{15} \frac{r 2^r}{(r+2)!}$ ; is equa l to

**Options:**
-",b,$\frac{(17)! - 12^{16}}{(17)!}$ b ) $\frac{(18)! - 2^{17}}{(18)!}$,N/A,$\frac{(16)! - 2^{15}}{(16)!}$,$\frac{(15)! - 2^{14}}{(15)!}$,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,4,single_type,"If $(1-x^2)^n \sum_{r=0}^n a_r x^r (1-x)^2$ $2^{n-r}$ , then $a_r$ is equal to

**Options:**
-",c,${}^{n}C_{r}$ b ) $^{n}C_{r}3^{r}$,N/A,$^{2n}C_r$,$^{n}C_{r}2^{r}$,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,5,single_type,"The term independen t of a in the expansion of $\left(1+\sqrt{\alpha}\right)$ $(a + \frac{1}{\sqrt{a} - 1})^{-30}$ is

**Options:**
-",b,${}^{30}C_{20}$ b ) 0,N/A,$^{30}C_{10}$,None e of these,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,6,single_type,"If $(1+2x^2)^n = \sum_{r=0}^{2n} a_r x^r$ then $a_r$ = -¿

**Options:**
-",,$\binom{{}^nC_r}{}^2$,${}^{n}C_{r}\cdot {}^{n}C_{r+1}$ c ) $^{2n}C_r$ d ) $^{2n}C_{r+1}$,N/A,N/A,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,7,single_type,"The value of $\sum_{r=0}^{50} (-1)^r \frac{50}{r}$ $\frac{{}^{0}C_{r}}{+2}$ is eq qual to

**Options:**
-",a,$\frac{1}{50 \times 51}$ b ) $\frac{1}{52 \times 50}$,N/A,$\frac{1}{52 \times 51}$,None e of these,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,8,single_type,"Maximum sum of coe on of (1–

**Options:**
-",,1 b ) 2 n,N/A,3 n d ) 0,N/A,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,9,single_type,"In the expansion of [1] 1+x)/(1- $(x)$ $]^2$ , the coeffic cient of $x$ a n will be

**Options:**
-",a,4n,4n-3,4n+1,None e of these,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,10,single_type,"In the expansion of $3$ greatest binomial coe $a$ ) 0

**Options:**
-",,N/A,N/A,N/A,N/A,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,11,single_type,"For $r = 0,,10$ let $A_r$ , $B_r \wedge C_r$ de enotes, respect tively, th e coefficient o $f x^r$ in the е $(1+x)^{10}$ , $(1+x)^{20}$ , and ( $(1+x)^{30}$ . T Then $\sum_{r=1}^{10} A_r (B_{10} B_r - C$ $G_{10}A_r)$ is equal to

**Options:**
-",a,$B_{10} - C_{10}$,$A_{10}[B_{10}^2-C_{10}A_{10}]$,0,$C_{10} - B_{10}$,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,24,single_type,"The value of $\sum_{r=0}^{40} r^{40} C_r^{30}$

**Options:**
-",,$40^{69}C_{29}$ b ) $40^{70}C_{30}$,N/A,$^{69}C_{29}$,$^{70}C_{30}$,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,25,single_type,"$1 + \frac{1}{3}x + \frac{1 \times 4}{3 \times 6}x^2 + \frac{1 \times 4 \times 4}{3 \times 6 \times 4}$

**Options:**
-",d,X b ) $(1+x)^{1/3}$,N/A,$(1-x)^{1/3}$ d ) $(1-x)^{-1/3}$,N/A,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,26,single_type,"The coefficient of the term inc dependent of x in the ex epansion of $\left(\frac{1}{x}\right)$ $\frac{x+1}{x^{2/3}-x^{1/3}+1}$ $-\frac{x-1}{x-x^{1/2}}\Big ^{10}$ is

**Options:**
-",a,210 b ) 105,N/A,70 d ) 112,N/A,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,27,single_type,"The total number of t $ \left(x^2 - 2 + \frac{1}{x^2}\right)^2 $ is equal to ich are depend dent on th ne value of $x$ , in the exp oansion of a ) 2 n +1 b ) 2 n c ) n d ) n+1

**Options:**
-",c,N/A,N/A,N/A,N/A,,,,,,,,,,,
BINOMIAL__THEOREM.json,592,MATH,BINOMIAL THEOREM,124,28,single_type,"The value $\sum_{r=0}^{20} r(20-r)$

**Options:**
-",,$400^{39}C_{20}$ b ) $400^{40}C_{19}$ c ) $400^{39}C_{19}$ d ) $400^{38}C_{20}$,N/A,N/A,N/A,,,,,,,,,,,
