source_json,test_id,subject,topic_name,total_questions,question_number,type,question_text,correct_answer,option_a,option_b,option_c,option_d,solution,image_data,hint_image,option_images_json,option_image_a,option_image_b,option_image_c,option_image_d,extra_question_images,solution_images,raw_question_json
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,0,numerical,,,,,,,,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,1,numerical,Cambium activity is More active towards the periphery of stem More active towards the lateral sides of stem More active towards the inner side of stem Same on the both sides,c,,,,,Cambium is generally more active on the inner side than the outer. As a result the amount of secondary xylem produced is more than the secondary phloem and soon form a compact mass,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,2,numerical,Cambium is a type of Apical meristem Intercalary meristem Lateral meristem Permanent of mature meristem,c,,,,,Lateral Meristem The meristem occurs on the sides and take part in increasing girth of the plant. Only one type of primary lateral meristem is found in plants. It is intrafascicular cambium. The cambium lies in vascular bundles of dicot and gymnosperm stem in between phloem and xylem *3*,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,3,single_type,"Pith is a central part of the ground tissues generally made up of Parenchyma

**Options:**
-",a,,Collenchyma,Chlorenchyma,,"The pith or medulla forms the central region of the stem and root. Usually, the pith of dicot stem is largely parenchymatous. It is devoid of chlorophyll in the mature state. The pith is not distinguishable in monocot stems. *4*",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,4,single_type,"Interfascicular cambium is found

**Options:**
-",b,Between pith and vascular bundle,Between two vascular bundles,In the vascular bundle,Outside the bundle,,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,5,single_type,"Meristematic tissue are

**Options:**
-",a,Premature having ability of division,Mature does not have ability of division,Premature not having ability of division,"Complex differentiating in xylem, phloem and cambium",,,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,6,single_type,"I. The 1° and 2° phloem get gradually crushed due to the continued formation and accumulation of 2° xylem II. 1° xylem remains more or less intact in or near the centre III. Secondary growth results in an increase in the length of the axis Select the correct statements

**Options:**
-",a,I and II,II and III,I and III,"I, II and III","The pith or medulla forms the central region of the stem and root. Usually, the pith of dicot stem is largely parenchymatous. It is devoid of chlorophyll in the mature state. The pith is not distinguishable in monocot stems. *4* **(b)** As growth begins, the cells of medullary rays, which lie in between vascular bundles become active and rise to cambial strip called interfascicular cambium constitute cambium. *5* **(a)** Tissue is a group of cells performing a particular function. Tissue are mainly of two types (i) Meristematic tissues These tissues contain immature and young cells that are much active and capable of showing continuous divisions and redivisions. They may be promeristem, primary meristem, secondary meristem, apical meristem, intercalary meristem and lateral meristem. (ii) Permanent tissues These are made up of mature cells, which have lost the capacity to divide and have attained a permanent shape, size and function, e.g., simple (parenchyma, collenchyma, sclerenchyma), complex (xylem, phloem) and secretory tissue. Secondary growth increases the girth not length of the plant. Length of the plant increases by apical meristem",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,7,single_type,"Cork is used as the stopper for bottles, for shock absorption and insulation because of

**Options:**
-",d,It is light and compressible,Non-reactive,Sufficiently resistant to fire,,"Cork prevents the loss of water by evaporation. It also protects the interior against the entry of harmful microorganisms, mechanical injury and extremes of temperature. Cork is light, compressible, nonreactive and sufficiently resistant to fire. It is used as stopper for bottles, shock absorption and insulation",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,8,single_type,Medullary rays are formed by the *,a,Radially placed parenchymatous cells between vascular bundles,Longitudinally placed parenchymatous cells between vascular bundles,Laterally placed parenchymatous cells between vascular bundles,Obliquely placed parenchymatous cells between vascular bundles,"Dicot stem In between the vascular bundles, there are few layers of radially placed parenchymatour cells. These parenchymatous cells are called medullary rays",,,,,,,,,,
ANATOMY_OF_FLOWERING_PLANTS-1.json,265,Time,ANATOMY OF FLOWERING PLANTS-1,421,9,single_type,Identify *A* to *D* in the given diagram and choose the correct option *,b,"A-Epidermal cell, B-Guard cell, C-Subsidiary cell, D-Chloroplast","A-Epidermal cell, B-Subsidiary cell, C-Chloroplast, D-Guard cell","A-Epidermal cell, B-Chloroplast, C-Subsidiary cell, D-Guard cell","A-Guard cell, B-Chloroplast, C-Subsidiary cell, D-Epidermal cell","*10* Diagram (I) Represents the dicotyledon plant because having bean-shaped guard cells Diagram (II) Represents the monocotyledon plant because of having dumb-bell shaped guard cells #### **(a)** Bast or phloem fibers are present in pericycle (e.g., Corchorus capsularis (jute), Hibiscus cannabinus (patsan), Crotalaria juncea (sunnhemp). These fibres are also known as extraxylary fibers. *11* #### **(b)** ## Vascular Cambium The meristematic layer that is responsible for cutting off vascular tissues (xylem and phloem) is called vascular cambium. In the young stem. It is present in patches as a single layer between the xylem and phloem. Later, it forms a complete ring *12*",,,,,,,,,,
