source_json,test_id,subject,topic_name,total_questions,question_number,type,question_text,correct_answer,option_a,option_b,option_c,option_d,solution,image_data,hint_image,option_images_json,option_image_a,option_image_b,option_image_c,option_image_d,extra_question_images,solution_images,raw_question_json
"ALCOHOLS,_PHENOLS_AND_ETHERS-1.json",186,Time,"ALCOHOLS, PHENOLS AND ETHERS-1",532,1,single_type,"An organic compound 'X ' on treatment with pyridinium chloro chromate in dichloromethane gives compound 'Y '. Compound 'Y',reacts with *I* <sup>2</sup> and alkali to form triiodomethane. The compound 'X ' is *

**Options:**
-",a,C*<sup>2</sup> *H*5*OH,C H*3*CHO,C H*3*COC H*<sup>3</sup>,C H*3*COOH,,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS-1.json",186,Time,"ALCOHOLS, PHENOLS AND ETHERS-1",532,4,single_type,"**Options:**
-",d,HCHO+(C H3 )2CHC H2 Mg X,,(C H3 )2CHC H2C H2 Mg X+O2,(C H3 )2CHCHO+C H3 Mg X,,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS-1.json",186,Time,"ALCOHOLS, PHENOLS AND ETHERS-1",532,5,single_type,"Lucas reagent is used to distinguish among primary, secondary and tertiary:

**Options:**
-",b,Alkyl halides,Alcohols,Aliphatic amines,Aromatic amines,,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS-1.json",186,Time,"ALCOHOLS, PHENOLS AND ETHERS-1",532,6,single_type,"Ketone upon treatment with Grignard reagent gives

**Options:**
-",c,Primary alcohol,Secondary alcohol,Tertiary alcohol,Aldehyde,,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS-1.json",186,Time,"ALCOHOLS, PHENOLS AND ETHERS-1",532,7,single_type,"The starting material for the preparation of C H3

**Options:**
-",a,C H3OH,C2 H5OH,C H3CHO,C H3COC H3,,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS-1.json",186,Time,"ALCOHOLS, PHENOLS AND ETHERS-1",532,9,single_type,Which one of the following will most readily be dehydrated in acidic condition? *a)* *b)* *c)* *d)*,a,,,,,,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS-1.json",186,Time,"ALCOHOLS, PHENOLS AND ETHERS-1",532,10,single_type,Tert-butyl methyl ether on heating with anhydrous HI in ether gives *,b,$$CH_3OH+(CH_3)_3CI$$,$$CH_3I+(CH_3)_3COH$$,$$CH_3I+(CH_3)_3CI$$,None of the above,,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS-1.json",186,Time,"ALCOHOLS, PHENOLS AND ETHERS-1",532,11,single_type,Diethyl ether is decomposed on heating with: *,d,NaOH,"Water

**Options:",KMnO4,HI,,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS-1.json",186,Time,"ALCOHOLS, PHENOLS AND ETHERS-1",532,12,single_type,"Ether fire can be extinguished by:

**Options:**
-",d,Sand,Pyrene,C O2,All of these,,,,,,,,,,,
"ALCOHOLS,_PHENOLS_AND_ETHERS-1.json",186,Time,"ALCOHOLS, PHENOLS AND ETHERS-1",532,13,single_type,"Diethyl ether on reaction with CO in specific conditions forms:

**Options:**
-",c,Acetic acid,Carbon dioxide,Ethyl propanoate,Acetyl chloride,,,,,,,,,,,
