source_json,test_id,subject,topic_name,total_questions,question_number,type,question_text,correct_answer,option_a,option_b,option_c,option_d,solution,image_data,hint_image,option_images_json,option_image_a,option_image_b,option_image_c,option_image_d,extra_question_images,solution_images,raw_question_json
Test_ID-733-MATHEMATICS.json,733,MATHEMATICS,MATRICES,122,0,numerical,,,,,,,,,,,,,,,,,
Test_ID-733-MATHEMATICS.json,733,MATHEMATICS,MATRICES,122,1,single_type,"Let $A = \begin{bmatrix} 1 & 2 \\ -5 & 1 \end{bmatrix}$ and $A^{-1}$ = xA + yI, then the values of x and y are

**Options:**
-",b,"$x = \frac{-1}{11}, y = \frac{2}{11}$","$x = \frac{-1}{11}, y = \frac{-2}{11}$","$x = \frac{1}{11}, y = \frac{2}{11}$","$x = \frac{1}{11}, y = -\frac{2}{11}$",,,,,,,,,,,
Test_ID-733-MATHEMATICS.json,733,MATHEMATICS,MATRICES,122,2,single_type,"If $A = \begin{bmatrix} 0 & 2 \\ 3 & -4 \end{bmatrix}$ and $kA = \begin{bmatrix} 0 & 3a \\ 2b & 24 \end{bmatrix}$, then the values of $k, a, b$ are respectively

**Options:**
-",c,"$-6, -12, -18$","$-6, 4, 9$","$-6, -4, -9$","$-6, 12, 18$",,,,,,,,,,,
Test_ID-733-MATHEMATICS.json,733,MATHEMATICS,MATRICES,122,3,single_type,"If $A = \begin{bmatrix} 0 & 3 & 3 \\ -3 & 0 & -4 \\ -3 & 4 & 0 \end{bmatrix}$ and $B = \begin{bmatrix} x \\ y \\ z \end{bmatrix}$, then $B'(AB)$ is

**Options:**
-",a,Null matrix,Singular matrix,Unit matrix,Symmetric matrix,,,,,,,,,,,
Test_ID-733-MATHEMATICS.json,733,MATHEMATICS,MATRICES,122,4,single_type,"The number of non-trivial solutions of the system $x - y + z = 0, x + 2y - z = 0, 2x + y + 3z = 0$ is

**Options:**
-",a,0,1,2,3,,,,,,,,,,,
Test_ID-733-MATHEMATICS.json,733,MATHEMATICS,MATRICES,122,5,single_type,"If $E(\theta) = \begin{bmatrix} \cos \theta & \sin \theta \\ -\sin \theta & \cos \theta \end{bmatrix}$, then $E(\alpha)E(\beta)$ is equal to

**Options:**
-",c,[Missing Option],[Missing Option],$E(\alpha + \beta)$,$E(\alpha - \beta)$,,,,,,,,,,,
Test_ID-733-MATHEMATICS.json,733,MATHEMATICS,MATRICES,122,6,single_type,"If $A = \begin{bmatrix} 1 & 5 & 7 \\ 0 & 7 & 9 \\ 11 & 8 & 9 \end{bmatrix}$, then trace of matrix $A$ is

**Options:**
-",a,17,25,3,12,,,,,,,,,,,
Test_ID-733-MATHEMATICS.json,733,MATHEMATICS,MATRICES,122,7,single_type,"The rank of $\begin{vmatrix} 1 & -1 & 1 \\ 1 & 1 & -1 \\ -1 & 1 & 1 \end{vmatrix}$ is

**Options:**
-",d,0,1,2,3,,,,,,,,,,,
Test_ID-733-MATHEMATICS.json,733,MATHEMATICS,MATRICES,122,8,single_type,"If $A = \begin{bmatrix} 1 & 2 & -1 \\ 3 & 0 & 2 \\ 4 & 5 & 0 \end{bmatrix}$ and $B = \begin{bmatrix} 1 & 0 & 0 \\ 2 & 1 & 0 \\ 0 & 1 & 3 \end{bmatrix}$, then AB is equal to

**Options:**
-",a,$\begin{bmatrix} 5 & 1 & -3 \\ 3 & 2 & 6 \\ 14 & 5 & 0 \end{bmatrix}$,$\begin{bmatrix} 11 & 4 & 3 \\ 1 & 2 & 3 \\ 0 & 3 & 3 \end{bmatrix}$,$\begin{bmatrix} 1 & 8 & 4 \\ 2 & 9 & 6 \\ 0 & 2 & 0 \end{bmatrix}$,$\begin{bmatrix} 0 & 1 & 2 \\ 5 & 4 & 3 \\ 1 & 8 & 2 \end{bmatrix}$,,,,,,,,,,,
Test_ID-733-MATHEMATICS.json,733,MATHEMATICS,MATRICES,122,9,single_type,"If $A = \begin{bmatrix} \cos x & \sin x & 0 \\ -\sin x & \cos x & 0 \\ 0 & 0 & 1 \end{bmatrix} = f(x)$, then $A^{-1}$ is equal to

**Options:**
-",a,$f(-x)$,$f(x)$,$-f(x)$,$-f(-x)$,,,,,,,,,,,
Test_ID-733-MATHEMATICS.json,733,MATHEMATICS,MATRICES,122,10,single_type,"Let A be a skew-symmetric matrix of even order, then A

**Options:**
-",a,Is a square,Is not a square,Is always zero,None of these,,,,,,,,,,,
