additional_data,answer,correct_options,description,gold,index,metadata,options,question,question_type,subject,type
{},-1080,[0],,,,{},"[""-1080"", ""-1020"", ""-1200"", ""-120""]","If the first term of an A.P. is 3 and the sum of its first four terms is equal to one-fifth of the sum of the next four terms, then the sum of the first 20 terms is equal to",1.0,Mathematics,
{},\(\frac{1}{2}\),[1],,,,{},"[""\\(\\frac{2}{3}\\)"", ""\\(\\frac{1}{2}\\)"", ""\\(\\frac{4}{9}\\)"", ""\\(\\frac{3}{5}\\)""]","One die has two faces marked 1, two faces marked 2, one face marked 3 and one face marked 4. Another die has one face marked 1, two faces marked 2, two faces marked 3 and one face marked 4. The probability of getting the sum of numbers to be 4 or 5, when both the dice are thrown together, is",1.0,Mathematics,
{},\(\frac{1}{6}(7 \hat{\mathbf{i}} + 12 \hat{\mathbf{j}} + \hat{\mathbf{k}})\),[3],,,,{},"[""\\(\\frac{1}{12}(7 \\hat{\\mathbf{i}} + 4 \\hat{\\mathbf{j}} + 3 \\hat{\\mathbf{k}})\\)"", ""\\(\\frac{1}{2}(\\hat{\\mathbf{i}} + 4 \\hat{\\mathbf{j}} + 7 \\hat{\\mathbf{k}})\\)"", ""\\(\\frac{1}{6}(12 \\hat{\\mathbf{i}} + 12 \\hat{\\mathbf{j}} + \\hat{\\mathbf{k}})\\)"", ""\\(\\frac{1}{6}(7 \\hat{\\mathbf{i}} + 12 \\hat{\\mathbf{j}} + \\hat{\\mathbf{k}})\\)""]","Let the position vectors of the vertices \(A\), \(B\) and \(C\) of a tetrahedron \(ABCD\) be \(\hat{\mathbf{i}} + 2 \hat{\mathbf{j}} + \hat{\mathbf{k}}\), \(\hat{\mathbf{i}} + 3 \hat{\mathbf{j}} - 2 \hat{\mathbf{k}}\) and \(2 \hat{\mathbf{i}} + \hat{\mathbf{j}} - \hat{\mathbf{k}}\) respectively. The altitude from the vertex \(D\) to the opposite face \(ABC\) meets the median line segment through \(A\) of the triangle \(ABC\) at the point \(E\). If the length of \(AD\) is \(\frac{\sqrt{110}}{3}\) and the volume of the tetrahedron is \(\frac{\sqrt{805}}{6 \sqrt{2}}\), then the position vector of \(E\) is",1.0,Mathematics,
{},\(\frac{1}{|\mathbf{A} \mathbf{B}|} (\operatorname{adj}(\mathbf{B}) + \operatorname{adj}(\mathbf{A}))\),[3],,,,{},"[""\\(\\mathbf{A} \\mathbf{B}^{-1} + \\mathbf{A}^{-1} \\mathbf{B}\\)"", ""\\(\\operatorname{adj}\\left(\\mathbf{B}^{-1}\\right) + \\operatorname{adj}\\left(\\mathbf{A}^{-1}\\right)\\)"", ""\\(\\frac{\\mathbf{A} \\mathbf{B}^{-1}}{|\\mathbf{A}|} + \\frac{\\mathbf{B} \\mathbf{A}^{-1}}{|\\mathbf{B}|}\\)"", ""\\(\\frac{1}{|\\mathbf{A} \\mathbf{B}|} (\\operatorname{adj}(\\mathbf{B}) + \\operatorname{adj}(\\mathbf{A}))\\)""]","If \(\mathbf{A}\), \(\mathbf{B}\), and \(\left(\operatorname{adj}\left(\mathbf{A}^{-1}\right) + \operatorname{adj}\left(\mathbf{B}^{-1}\right)\right)\) are non-singular matrices of same order, then the inverse of \(\mathbf{A} \left(\operatorname{adj}\left(\mathbf{A}^{-1}\right) + \operatorname{adj}\left(\mathbf{B}^{-1}\right)\right)^{-1} \mathbf{B}\), is equal to",1.0,Mathematics,
{},44,[2],,,,{},"[""52"", ""48"", ""44"", ""40""]","Marks obtained by all the students of class 12 are presented in a frequency distribution with classes of equal width. Let the median of this grouped data be 14 with median class interval 12-18 and median class frequency 12. If the number of students whose marks are less than 12 is 18, then the total number of students is",1.0,Mathematics,
{},8,[2],,,,{},"[""4"", ""32"", ""8"", ""16""]","Let a curve \(y = f(x)\) pass through the points \((0, 5)\) and \((\log_e 2, k)\). If the curve satisfies the differential equation \(2(3 + y) e^{2x} dx - (7 + e^{2x}) dy = 0\), then \(k\) is equal to",1.0,Mathematics,
{},10,[3],,,,{},"[""2"", ""5"", ""8"", ""10""]","If the function \(f(x) = \begin{cases} \frac{2}{x} \left\{ \sin (k_1 + 1) x + \sin (k_2 - 1) x \right\}, & x < 0 \\ 4, & x = 0 \\ \frac{2}{x} \log_e \left( \frac{2 + k_1 x}{2 + k_2 x} \right), & x > 0 \end{cases}\) is continuous at \(x = 0\), then \(k_1^2 + k_2^2\) is",1.0,Mathematics,
{},\(\tan^{-1} \left( \frac{9}{7} \right)\),[1],,,,{},"[""\\(\\tan^{-1} \\left( \\frac{4}{5} \\right)\\)"", ""\\(\\tan^{-1} \\left( \\frac{9}{7} \\right)\\)"", ""\\(\\tan^{-1} \\left( \\frac{11}{9} \\right)\\)"", ""\\(\\frac{\\pi}{2} - \\tan^{-1} \\left( \\frac{3}{2} \\right)\\)""]","If the line \(3x - 2y + 12 = 0\) intersects the parabola \(4y = 3x^2\) at the points \(A\) and \(B\), then at the vertex of the parabola, the line segment \(AB\) subtends an angle equal to",1.0,Mathematics,
{},\(3 \sqrt{30}\),[3],,,,{},"[""\\(9 \\sqrt{15}\\)"", ""\\(\\sqrt{30}\\)"", ""\\(8 \\sqrt{15}\\)"", ""\\(3 \\sqrt{30}\\)""]","Let \(P\) be the foot of the perpendicular from the point \(Q(10, -3, -1)\) on the line \(\frac{x - 3}{7} = \frac{y - 2}{-1} = \frac{z + 2}{-2}\). Then the area of the right-angled triangle \(PQR\), where \(R\) is the point \((3, -2, 1)\), is",1.0,Mathematics,
{},\(2 - \sqrt{3}\),[1],,,,{},"[""\\(2 \\sqrt{3}\\)"", ""\\(2 - \\sqrt{3}\\)"", ""\\(5 \\sqrt{3}\\)"", ""\\(2 + \\sqrt{3}\\)""]","Let the arc \(AC\) of a circle subtend a right angle at the centre \(O\). If the point \(B\) on the arc \(AC\), divides the arc \(AC\) such that \(\frac{\text{length of arc } AB}{\text{length of arc } BC} = \frac{1}{5}\), and \(\overrightarrow{OC} = \alpha \overrightarrow{OA} + \beta \overrightarrow{OB}\), then \(\alpha + \sqrt{2}(\sqrt{3} - 1) \beta\) is equal to",1.0,Mathematics,
